FID,ID,x,y,z,d,txt
0,48,16.169169076300001,111.569458062000000,-3.232300500000000,1.148666666670000,all
1,53,16.169201020199999,111.569454808000000,-3.504921200000000,1.386666666670000,all
2,54,16.169207403500000,111.569454271000000,-3.023387700000000,1.434000000000000,all
3,62,16.169252129099998,111.569449779000000,-3.095768000000000,1.766666666670000,all
4,64,16.169264907199999,111.569448518000000,-3.008666300000000,1.862000000000000,all
5,66,16.169264910900001,111.569448456000000,-3.302564100000000,1.862000000000000,all
6,74,16.169316037300000,111.569443315000000,-3.393053800000000,2.242666666670000,all
7,88,16.169386365899999,111.569435876000000,-5.236570000000000,2.766666666670000,all
8,90,16.169405550899999,111.569433842000000,-5.756884600000000,2.910000000000000,all
9,115,16.169469497000001,111.569427402000000,-5.868911300000000,3.386000000000000,all
10,117,16.169475879200000,111.569427073000000,-4.395925000000000,3.433333333330000,all
11,118,16.169475892600001,111.569426759000000,-5.876576000000000,3.433333333330000,all
12,122,16.169488684899999,111.569425486000000,-5.825603500000000,3.528666666670000,all
13,134,16.169520667099999,111.569422266000000,-5.866210000000000,3.766666666670000,all
14,137,16.169527050900001,111.569421934999990,-4.398541000000000,3.814000000000000,all
15,141,16.169552641999999,111.569419279000000,-4.807386000000000,4.004666666670000,all
16,146,16.169578222399998,111.569417036000000,-3.262326200000000,4.195333333330000,all
17,150,16.169584620599998,111.569416407000010,-3.198037000000000,4.242666666670000,all
18,151,16.169597424300001,111.569414972000000,-3.899223300000000,4.338000000000000,all
19,152,16.169597423199999,111.569414998000000,-3.777570200000000,4.338000000000000,all
20,163,16.169635820100002,111.569411198000000,-3.503281800000000,4.624000000000000,all
21,167,16.169661417699999,111.569408741999990,-2.950545300000000,4.814666666670000,all
22,172,16.169680615600001,111.569406951000000,-2.290146600000000,4.957333333330000,all
23,183,16.169738241400001,111.569401137000000,-2.387933000000000,5.386666666670000,all
24,185,16.169744642500000,111.569400555000000,-2.096119400000000,5.434000000000000,all
25,188,16.169751045200002,111.569399941000000,-1.955543200000000,5.482000000000000,all
26,200,16.169795876599999,111.569395429000000,-1.970686800000000,5.816000000000000,all
27,208,16.169827900400001,111.569392321000000,-1.432187300000000,6.054000000000000,all
28,220,16.169866343599999,111.569388427000010,-1.558495400000000,6.340666666670000,all
29,232,16.169911203700000,111.569383833000000,-1.943394900000000,6.674666666670000,all
30,244,16.169943244500001,111.569380770000000,-1.181553600000000,6.913333333330000,all
31,252,16.169975297800001,111.569377434000000,-1.704573000000000,7.152000000000000,all
32,270,16.170026589399999,111.569372267000010,-1.733318700000000,7.534000000000000,all
33,276,16.170032991199999,111.569371868000000,-0.572108200000000,7.581333333330000,all
34,281,16.170045819500000,111.569370477000010,-1.048653100000000,7.677333333330000,all
35,288,16.170065060300001,111.569368491000010,-1.285186800000000,7.820666666670000,all
36,294,16.170090716299999,111.569365858000000,-1.529165000000000,8.011333333330001,all
37,309,16.170135622099998,111.569361212999990,-2.133915700000000,8.346000000000000,all
38,315,16.170180529600000,111.569356677000000,-2.218756400000000,8.680666666670000,all
39,318,16.170193358700001,111.569355411000000,-2.104973300000000,8.776000000000000,all
40,321,16.170199773299998,111.569354805000000,-1.920155500000000,8.824000000000000,all
41,325,16.170199767700002,111.569354937000000,-1.298382000000000,8.823333333330000,all
42,333,16.170219023700000,111.569352847999990,-2.016283000000000,8.967333333330000,all
43,335,16.170231684299999,111.569351536000000,-2.297748800000000,9.061333333330000,all
44,353,16.170276687200001,111.569347048000000,-2.074948800000000,9.396666666670001,all
45,354,16.170276686699999,111.569347060000000,-2.017258400000000,9.396666666670001,all
46,362,16.170315264700001,111.569343234000000,-1.726438400000000,9.683999999999999,all
47,363,16.170315272700002,111.569343047000000,-2.610279600000000,9.683999999999999,all
48,368,16.170347419999999,111.569339937000000,-2.001261700000000,9.923333333330000,all
49,375,16.170373145500001,111.569337293999990,-2.248946200000000,10.115333333300001,all
50,378,16.170379567200001,111.569336862000000,-1.231896200000000,10.162666666700000,all
51,381,16.170386004200001,111.569336075000000,-1.891801400000000,10.210666666700000,all
52,386,16.170398864199999,111.569334806000000,-1.770037400000000,10.306666666700000,all
53,390,16.170405292600002,111.569334176000000,-1.686210300000000,10.354666666700000,all
54,397,16.170456739100000,111.569329051000000,-1.433208100000000,10.737333333300001,all
55,403,16.170463172400002,111.569328350000010,-1.686863300000000,10.785333333300001,all
56,406,16.170476036099998,111.569327018000000,-1.866218800000000,10.881333333300001,all
57,409,16.170476034099998,111.569327066000000,-1.640196700000000,10.881333333300001,all
58,423,16.170521044200001,111.569322681000000,-0.966546000000000,11.215999999999999,all
59,430,16.170540341300001,111.569320597000000,-1.650134900000000,11.359999999999999,all
